Job Title,Department,Service Area,Earnings,meta_row_index,meta_row_id
LCC STAGE HAND,Cultural Services,Community Services,1486.23,3191,f581f9d9b9a1ea863cab3a983475330f26d79476
CLERICAL AIDE,Recreation,Community Services,1483.90,3192,436dcd1e7edb034155ebf5e9c002f7208166e8b4
CIRCULATION AIDE,Library District,Library District,1483.50,3193,3d714b7a4e6aa22568b99de3ccd615ef549dbff3
PARTY HOST,Recreation,Community Services,1471.87,3194,b84fb55343259f5027a9c655ec1387efe21f179d
LIFEGUARD,Recreation,Community Services,1471.24,3195,d4d84e16d71e57f0adaca9b6f470fc18274d5c71
LIFEGUARD,Recreation,Community Services,1454.62,3196,20fd9f339b4afc01ccd3453070ed8d578ea913e3
RECREATION AIDE,Recreation,Community Services,1445.24,3197,58c129667b07a8869e7c5366ef7da9c30e6cf945
BARTENDER,Recreation,Community Services,1440.32,3198,219ee6c96aaf5e159cf7283888cd59b1110b2d9f
SWIM INSTRUCTOR,Recreation,Community Services,1434.59,3199,c9610ad57a64828912b664bd6656d6694ce22cb1
LIFEGUARD,Recreation,Community Services,1431.45,3200,7f4bc3e09004b615202f75847ad55b08b6da86bd
LIFEGUARD,Recreation,Community Services,1404.13,3201,739166ecfbbbf2fbb2434411724642c88b0be3f7
FITNESS INSTRUCTOR-1 HR 15 MIN,Recreation,Community Services,1402.81,3202,c31df70b3f98ac59b126e9ecbb45ae4a01e8fd44
LIFEGUARD,Recreation,Community Services,1388.81,3203,b6e65fed9eb344dda4805ce4e9546c800a2ecf00
MAINTENANCE HELPER,Operation Services,Information & Employee Svcs,1386.00,3204,81b8baf016b7176ac2a6bba58ca2daea11145cd2
EQUIPMENT OPERATOR/ GOLF,Parks,Community Services,1385.40,3205,36a85425221ebd9a64de944c2f49b3286ffda34d
UTILITY WORKER/ PARKS,Parks,Community Services,1384.50,3206,1d5d46672739df746edf0372a337da7a745a03de
FACILITY ATTENDANT,Ut Standards Engineering Div,Utility Services,1370.65,3207,0706dadf129b4c6342ff3e45af15ed76090149a3
CIRCULATION AIDE,Library District,Library District,1369.60,3208,9f7abbc08577f5b8c4fdc724261ccb29402282aa
FACILITY CUSTODIAN,Cultural Services,Community Services,1362.71,3209,615e1884891afe30d6b55a3d4020a50484dd288c
FITNESS INSTRUCTOR-1 HR 15 MIN,Recreation,Community Services,1361.58,3210,cfbad3c40c3de1c1e11076c5fdf3c632fb2b91d1
CIRCULATION AIDE,Library District,Library District,1360.02,3211,bb415aa5fbc88bc237cb5fb12a2547af40f1f286
LIFEGUARD,Recreation,Community Services,1359.95,3212,75aefbe98a1f5e9a6855b4646ecacd4e2303f7e8
LIFEGUARD,Recreation,Community Services,1357.32,3213,c5137d4fe8348acb3564a7acc20b15a3ae3c8190
PROGRAM ASSISTANT,Utilities Customer Connections,Utility Services,1355.46,3214,84e800ae55bb5b289c2cb848acf8468bc2e0b40d
FACILITY ATTENDANT,Recreation,Community Services,1354.44,3215,818ba0f7e20b4b1a56e45f59dc7a08348975510c
RECREATION AIDE,Recreation,Community Services,1345.78,3216,2d1b7d7b82c37f3cba91eff50fb4ecb3ef6fb087
LIFEGUARD,Recreation,Community Services,1345.22,3217,16b4b0e4ed0b4b2612da3e77ad9f02a242ccdf9d
AQUA-FITNESS INSTRUCTOR,Recreation,Community Services,1341.03,3218,d5612193fdb085b631938f4b715e3327b2f1b668
LCC PROFESSIONAL STAGE HAND,Cultural Services,Community Services,1335.34,3219,752bd4073d6ddb504e3faf727ca852385b2838b0
LIFEGUARD,Recreation,Community Services,1332.75,3220,7196b1b0d0f78b851cfae7bfd962e104d7008b5b
LIFEGUARD,Recreation,Community Services,1325.06,3221,9d5731b721784e53ba8d16824ae080e380158486
ADULT SPORTS FIELD/GYM SUPV,Recreation,Community Services,1318.67,3222,e276d5706237e5aa49db5b7ce5b4ff3828bf713a
BUS OPERATOR,Transfort / Parking Services,"Planning, Dev & Transportation",1317.70,3223,9a69a071fb5931e8445dc4a178251edc40f801cd
FITNESS INSTRUCTOR-1 HR 15 MIN,Recreation,Community Services,1305.00,3224,4bdea30d96808e26d1fda10bc62bd11a93e750bf
LIFEGUARD,Recreation,Community Services,1304.76,3225,1f1323189bd1a8f60733356361844d11b9137a1d
LIFEGUARD,Recreation,Community Services,1300.44,3226,c7319cef14280589ee97f8f9d22c759498ca5eb2
FITNESS INSTRUCTOR-1 HR 15 MIN,Recreation,Community Services,1284.00,3227,5d399085f6475816c961b897ceaeb5c75ce8a693
LIFEGUARD,Recreation,Community Services,1280.55,3228,987f82a5a081f04fbcdbd1395bdbaafda12c3717
FITNESS INSTRUCTOR-1 HR 15 MIN,Recreation,Community Services,1277.80,3229,b934977d94b7907aa714dfc75c8c409863eb30c8
CLERICAL AIDE,Recreation,Community Services,1275.28,3230,dc95a3fdd0242824e122a06fb1da512fac536584
LIFEGUARD,Recreation,Community Services,1274.21,3231,276f7aa47d085f65f9859c5e9d47231ac78f9322
OUTDOOR RECREATION INSTRUCTOR,Recreation,Community Services,1266.21,3232,d5337c0259dc2a3c6c55da3d1a8bf8d5fe23fe2a
LEAD CLERICAL AIDE,Recreation,Community Services,1263.86,3233,b82005ad5297c97eae091a56c724d9c62aa2eca4
SKATE GUARD,Recreation,Community Services,1263.62,3234,cc886dced45e855f65fd472d88098245f4caf580
SKATE INSTRUCTOR/GROUP,Recreation,Community Services,1250.00,3235,5978d743713e47d3aeaaf755b7a9f5705e720c15
LIBRARY ASSISTANT,Library District,Library District,1245.09,3236,525aa77acd1682284c06f69b2ed71d438c5ab52a
FITNESS INSTRUCTOR-1 HR 15 MIN,Recreation,Community Services,1240.00,3237,b5b3ded3671905a6f8546c7b4070bf9e10dbd277
SPECIALIZED INSTRUCTOR,Recreation,Community Services,1230.83,3238,392a60b12708a9aef5e4a491959b86db93acfc2a
SWIM INSTRUCTOR,Recreation,Community Services,1224.20,3239,d9ea02143dc9d04fbb0e6ab0b46a8e319e345782
ARTS / CRAFTS INSTR - SR CTR,Recreation,Community Services,1220.61,3240,eb7cb2592b7962da77f6d1b267ea00090e6c024c
FITNESS INSTRUCTOR-1 HR 15 MIN,Recreation,Community Services,1220.00,3241,a96b37e4e4832676cab76087290897f3814fd83a
FITNESS INSTRUCTOR-1 HR 15 MIN,Recreation,Community Services,1219.50,3242,69d014adf859b7029c361d4ec0d6dc4ee46f138f
OUTDOOR RECREATION INSTRUCTOR,Recreation,Community Services,1218.77,3243,427a6eafed0890085baa56ce3a11390c8394cdb5
LIFEGUARD,Recreation,Community Services,1217.41,3244,aed45cc268223de955326828ef5060253177ac47
INTERN,Comm. & Public Involvement,Information & Employee Svcs,1213.80,3245,8e7292082e547433f2e25c7ba78f830717c977d9
LIFEGUARD,Recreation,Community Services,1205.99,3246,b504eed785a306ee0c4db915253373fdc0877559
SWIM INSTRUCTOR,Recreation,Community Services,1205.39,3247,2ac7aa3e18779ecefa064281d9f6d5a08a776f4d
FITNESS INSTRUCTOR-ADDITIONAL,Recreation,Community Services,1205.10,3248,b2e49bddaceaf0a90123bfd80bfe375dbf866f53
FITNESS INSTRUCTOR-1 HR 15 MIN,Recreation,Community Services,1204.89,3249,9aa82fcfd700371780761e910a812fa050ebfa6e
ADMINISTRATIVE ASSISTANT,Economic Health Office,Sustainability Services,1204.80,3250,ba70f06731e01adb50e579dae9e7af8bfa4b766b
CLERICAL AIDE,Recreation,Community Services,1183.84,3251,2a345d82e24251e287a1aa668171afb5455432db
SKATE GUARD,Recreation,Community Services,1182.81,3252,d846bf0be9b3917138571ff83c5b2dfe393b5c7f
WATER SAFETY INSTRUCTOR,Recreation,Community Services,1179.20,3253,0526e65c0416878c98f9064d31e3ba885dac655c
YOUTH INSTRUCTOR,Recreation,Community Services,1169.03,3254,b08c15f8765d151315edf78369fd6b8f749ca658
WATER SAFETY INSTRUCTOR,Recreation,Community Services,1165.32,3255,aebb1b8f4397a62a35c515f7f18eef0bbb3046ab
CLERICAL AIDE,Recreation,Community Services,1157.05,3256,809764e9a4f836f6a8d91d865fcf10d4c34bb04b
OUTDOOR RECREATION INSTRUCTOR,Recreation,Community Services,1154.66,3257,4fcfc1a104325ee3d534d93f3a038716bea61582
MAINTENANCE HELPER,Operation Services,Information & Employee Svcs,1140.00,3258,b0898e498d2cd1c9e44517d73ebc29c1377cc17f
FACILITY ATTENDANT,Cultural Services,Community Services,1134.17,3259,2fb4e3327dd8a9729918cbf9f70cc610f38b79c2
PLANNING TECHNICIAN,Cultural Services,Community Services,1131.56,3260,47d46287c47ea2033554899b8c54038d7d0a6742
FACILITY ATTENDANT,Recreation,Community Services,1122.60,3261,66a7e573473e399fe5f14aa82ef9ec70c6f80640
FITNESS INSTRUCTOR-1 HR 15 MIN,Recreation,Community Services,1120.50,3262,23b9e3cc1aed14a94528b808658432366fb7b5d0
FITNESS INSTRUCTOR-1 HR 15 MIN,Recreation,Community Services,1116.00,3263,16138c2f6702bff255c1b8ffb1172a214d6c07fd
LIFEGUARD,Recreation,Community Services,1113.72,3264,5964c7773d0f3aa6389842118e04c44b87b976c8
INTERN,Economic Health Office,Sustainability Services,1113.00,3265,fbc0a8f0dca7e041cf0f0ee77e9b0ed30b857297
FITNESS INSTRUCTOR - 1 HOUR,Recreation,Community Services,1107.00,3266,08c38b61dbb02aeac5082b92b5461df18b73fa9a
ADULT SPORTS SCOREKEEPER,Recreation,Community Services,1102.50,3267,5771a81c3aa70954b7fbb9a3612b6374fcd62c2e
FITNESS INSTRUCTOR-1 HR 15 MIN,Recreation,Community Services,1102.50,3268,cf3dd7786917261dd3cfda454eb280fe757cc719
LIFEGUARD,Recreation,Community Services,1098.71,3269,caf12cdf0c1bcda1c927cbc8689666355cb76f0d
ALTERNATIVE PROGRAM LEADER,Recreation,Community Services,1093.47,3270,f39e52d5f9cdb06c2173aa3f9daa2d49425f7187
PERSONAL TRAINER - 30 MINUTES,Recreation,Community Services,1087.00,3271,47ad13b8f7084b385602b71dbdd8e2afb64698dc
FACILITY ATTENDANT,Cultural Services,Community Services,1084.72,3272,64e5288789d04927a7b5b923fab9067b1950cb38
AQUA-FITNESS INSTRUCTOR,Recreation,Community Services,1083.33,3273,322fe21a107cb65ed09eaee5ffc1b1ba5782376f
CONSULTANT,City Manager's Office,Executive Services,1081.15,3274,aa74ef2649110175f72ba3bd58a482fb769697eb
WATER SAFETY INSTRUCTOR,Recreation,Community Services,1080.77,3275,37616de4fe8176ed6efd8d690eb29ef85f64032e
LIFEGUARD,Recreation,Community Services,1080.19,3276,7eb346f3d55073c7fdf13a2c9524b5c6fca95a0b
YOUTH INSTRUCTOR,Recreation,Community Services,1078.77,3277,d9be230a1580ae57a039452bc654ca29c394cbf6
UTILITY WORKER/ PARKS,Parks,Community Services,1075.75,3278,74172812ad0434e27665b136f83ec84a7df532f0
PERSONAL TRAINER - 30 MINUTES,Recreation,Community Services,1075.25,3279,1c943369ca1cc3d978446d5827d75b2b32096bcb
INTERN,Environmental Services,Sustainability Services,1072.11,3280,0fa7e916a248364e2541c694af5b70dd239ce3f4
ASST CIRCULATION SUPV - HOURLY,Library District,Library District,1070.40,3281,f7c87b49f529ce2a9208763ccd5c6764742817f4
EXHIBIT WORKER,Cultural Services,Community Services,1067.54,3282,792c44ecb3ad5ca8ac1013e520a276e2046b811d
LIFEGUARD,Recreation,Community Services,1066.00,3283,4ea12b4244ef89b7edbf9b583f24b687ca826248
EQUIPMENT OPERATOR/ GOLF,Parks,Community Services,1062.50,3284,9c0d7c9cd8a2afc3d962b3fdfb89d92326b314ab
SKATE INSTRUCTOR/GROUP,Recreation,Community Services,1062.50,3285,7c925d5fc65ff4794dd1020a2f47b60d8592c240
CLERICAL AIDE,Recreation,Community Services,1062.21,3286,408b7b9e61eb4168689b8e3361ca44500fb26479
ARTS / CRAFTS INSTR - SR CTR,Recreation,Community Services,1059.13,3287,9a252b2a5a7c7041e02e2f74e0fa447b324a3f96
CIRCULATION AIDE,Library District,Library District,1053.02,3288,f538d0e67f86127b6a298a39ffe51ba3c7674f09
MAINTENANCE HELPER,Operation Services,Information & Employee Svcs,1050.00,3289,0be1130cdccd771d45d60433cfc3603e00be78e9
SKATE INSTRUCTOR/GROUP,Recreation,Community Services,1044.40,3290,484d559c20f3c12e54213cba613dbbc9105b3391
LEAD CLERICAL AIDE,Recreation,Community Services,1040.00,3291,f574f20b85c4086083d0025f17501d7f78a1249d
AQUA-FITNESS INSTRUCTOR,Recreation,Community Services,1033.20,3292,cada52e153d975a314142dd922dfd4fb71abaa28
LCC PROFESSIONAL STAGE HAND,Cultural Services,Community Services,1031.67,3293,f4bebaf87f1d96f9e3eda84837616abb6ab50d15
SWIM INSTRUCTOR,Recreation,Community Services,1026.99,3294,ec980effe17446d45ef4277c4de6a11ab337dad1
GENERAL INTEREST INSTRUCTOR,Recreation,Community Services,1026.47,3295,5e79a09e6ca5a04e411c6669ac7004560bd10538
YOUTH SPORTS TRACK&FIELD COACH,Recreation,Community Services,1023.75,3296,f23e68b977d7297b11472ab0f1cc50fd0876e44a
FITNESS INSTRUCTOR-1 HR 15 MIN,City Clerk's Office,Executive Services,1019.08,3297,a71a6d6008b14d0977b2fe0f2b0dcaa0b71a704e
ADULT SPORTS SCOREKEEPER,Ut Standards Engineering Div,Utility Services,1018.50,3298,6278957974db26346d818b9984ae4ad76f30ce24
YOUTH SPORTS TRACK&FIELD COACH,Recreation,Community Services,1018.50,3299,722df686ff9ea7cbe0c6922f9e98fa5a4805acbc
SWIM INSTRUCTOR/PRIVATE,Recreation,Community Services,1016.88,3300,e9c13275af0870c0356e3ca1fa56a943841642ad
SPECIALIZED INSTRUCTOR,Recreation,Community Services,1016.83,3301,b767f3d3528b3ac59d2e49b0c6586587b3671f50
ADMINISTRATIVE CLERK I-INACTIV,Recreation,Community Services,1013.38,3302,744f1cc39be0e6d8d057b334585a55e1df228977
SWIM INSTRUCTOR,Recreation,Community Services,1011.46,3303,817418dcc3ff3f5cbf4e9e5db02a4d9d06bcf67d
ADULT SPORTS FIELD/GYM SUPV,Recreation,Community Services,998.25,3304,130ae95da2f79f94179d31fc6721efe66097a834
CIRCULATION AIDE,Library District,Library District,987.17,3305,e499973298d5d38449a7b1bf6aaac993146ce340
SWIM INSTRUCTOR,Recreation,Community Services,985.42,3306,6b9b5a5077918c1d67ae549d83afcc3ab59daf38
EXHIBIT WORKER,Cultural Services,Community Services,984.74,3307,1f111bdd165f4fafb7a121f129d17d3556f53518
FITNESS INSTRUCTOR-1 HR 15 MIN,Recreation,Community Services,980.00,3308,be9189c8fa982df2f0966a8a9ddc40d4c92a3b21
SKATE INSTRUCTOR/GROUP,Recreation,Community Services,976.41,3309,8b3996a1ca9d159e2702a7cdfe4e515db0c4b061
FACILITY ATTENDANT,Recreation,Community Services,972.47,3310,16ce3cdf9f321ff1f1d74c15cc6d5e912f221069
MAINTENANCE HELPER,Operation Services,Information & Employee Svcs,972.36,3311,62d321b1f7393d42935f8486347fb413f0d0d2a1
MUSEUM ASSISTANT,Cultural Services,Community Services,969.56,3312,290b311c63c24bd2356b2358155b5bad998c84d1
EQUIPMENT OPER- STRTS/TRAFFIC,Purchasing,Financial Services,969.00,3313,610eccb2b51adb1812abb610af125d5731ab2ce7
SKATE GUARD,Recreation,Community Services,966.82,3314,5dea8f8c2bfa13b9144db204ccdda10a74e56754
LIFEGUARD,Recreation,Community Services,957.77,3315,a7a41bad4dd8d1dc5d61da4dcd2ad36b49feb767
ANSWER CENTER SUBSTITUTE TECH,Library District,Library District,953.87,3316,bc0c8c424648846134a424696b6da2ca514c7bce
ADULT SPORTS SCOREKEEPER,Recreation,Community Services,950.25,3317,9a8072a80389ae42183710456de3c2f95f216f42
EQUIPMENT OPERATOR/ CEMETERY,Parks,Community Services,948.16,3318,493ef92f5fcb1151ab0abcd3e912f1fd008ea148
LCC STAGE HAND,Cultural Services,Community Services,948.03,3319,e3e8cf3b7f8c79839754bc8857ceede5b49a7049
WATER SAFETY INSTRUCTOR,Recreation,Community Services,945.80,3320,846cbcc5a88f811b7a87bf8b35a71c07de2e1fce
ADULT SPORTS SCOREKEEPER,Recreation,Community Services,939.75,3321,5a384245c7e298447eb78508828f1ba22150ef88
LCC PROFESSIONAL STAGE HAND,Cultural Services,Community Services,939.69,3322,5f5605d3cbd5632d04f826df72687051e9f1ebc7
GENERAL INTEREST INSTRUCTOR,FC Moves,"Planning, Dev & Transportation",937.50,3323,05b59d6908315a8f022f4ff2cf79f940404cc371
FITNESS INSTRUCTOR - 45 MINUTE,Recreation,Community Services,931.50,3324,f88201830320f7eb226c7b8f13350233a6ffe1e1
LCC PROFESSIONAL STAGE HAND,Cultural Services,Community Services,930.86,3325,f6169f73ecafb1eac79620f1a463d44c7b89112b
UTILITY WORKER/ WATER,Ut Drainage System Div,Utility Services,924.00,3326,ca0daaeb1f553bde554f6de2605945132040e389
CLERICAL AIDE,Cultural Services,Community Services,919.08,3327,f6906a30402bfacfd7956c2d9231f775c84d22a5
LIFEGUARD,Recreation,Community Services,918.64,3328,1557ae0fcd9fe94be7fcd5f56501d5e72a0ac306
OUTDOOR RECREATION INSTRUCTOR,Recreation,Community Services,917.84,3329,91488d2662c3562d26d433faaa82312b6c0e11b9
WATER SAFETY INSTRUCTOR,Recreation,Community Services,917.50,3330,d60a243d1ce487e82bf49b0ae77cb85ced8127de
EQUIPMENT OPERATOR/ GOLF,Parks,Community Services,912.00,3331,76b92b466b0fb0b40231a0c2e6c237408e18562f
LCC PROFESSIONAL STAGE HAND,Cultural Services,Community Services,908.70,3332,36a29a88e7ed867d6562cd6042c46ded1a6506b5
SWIM INSTRUCTOR,Recreation,Community Services,906.84,3333,0dda353cc22fc2e0648fe16496d1b25d20977503
ARTS / CRAFTS INSTR - SR CTR,Recreation,Community Services,905.65,3334,bbd6609d23d04d7dd18a76d62c0b25368d1e0f0d
FACILITY ATTENDANT,Recreation,Community Services,903.27,3335,b50e73e3270a502b3541104056a06b836f359592
ADULT SPORTS SCOREKEEPER,Recreation,Community Services,903.00,3336,bee5981519fce9e4f06afa940af400ae576ba314
LCC PROFESSIONAL STAGE HAND,Cultural Services,Community Services,902.08,3337,a88fcdee88fd24f06775bd990c47ce62710077f7
SPECIALIZED INSTRUCTOR,Recreation,Community Services,898.18,3338,0bc33835fe721b84ecabb20bacd188329882fdb0
OUTDOOR RECREATION INSTRUCTOR,Recreation,Community Services,890.73,3339,1909ff8f4cd3b6706a4ee71cc2fdd58f408c40e8
LCC PROFESSIONAL STAGE HAND,Cultural Services,Community Services,890.70,3340,9d74aa4228c04cdf92f9b3f012dfc0f2b150039a
SWIM INSTRUCTOR,Recreation,Community Services,888.08,3341,ebf4bcf3ffbc54d12bac9544399ea726f5c00d81
LCC STAGE HAND,Cultural Services,Community Services,886.27,3342,1e7ef561ecb859fd110df6d40eb4f792ea2a2ac4
SKATE INSTRUCTOR/GROUP,Recreation,Community Services,884.85,3343,2dd167a7f97abce63a730d7b32fd58d357b2549f
SWIM INSTRUCTOR,Recreation,Community Services,884.80,3344,009cf8b144716a2b99aec181034bdda9ab066736
EQUIPMENT OPERATOR/ GOLF,Parks,Community Services,884.40,3345,3e195194f43de5f1c5a2c1e9f27d1ad79b138603
ALTERNATIVE PROGRAM LEADER,Recreation,Community Services,883.17,3346,3cc47197060a8e8ec3071f0fff746753c440464a
CLERICAL AIDE,Recreation,Community Services,869.55,3347,fbf72435886c80f22e7aaa420da89f88e2ef9e5e
ADULT SPORTS FIELD/GYM SUPV,Recreation,Community Services,866.26,3348,7e2a94eeca622ce367a1a760d75e7489b45d8175
CUSTOMER SERVICE REP,Recreation,Community Services,865.00,3349,0dc4fa1d8758c1dc24b3ab114a815952ffabf756
CIRCULATION AIDE,Library District,Library District,863.55,3350,6202f25674e32974ca45531eecce6ed4c1b1c25b
FITNESS INSTRUCTOR-1 HR 15 MIN,Recreation,Community Services,862.50,3351,2f0c1e1c91a6c2d269d13d734adddf813d3de050
YOUTH SPORTS TRACK&FIELD COACH,Recreation,Community Services,861.00,3352,c1220a7f76c875105c22efe3e51e48d85e8bd4d3
ADULT SPORTS SCOREKEEPER,Recreation,Community Services,855.75,3353,72f90e6cf229ffeffda5b61a0c2cd7715b8753af
LIBRARY ASSISTANT - HOURLY,Library District,Library District,847.21,3354,003769d0a73a5d9ce647a09e4b5c4a754bab178e
FITNESS INSTRUCTOR-1 HR 15 MIN,Recreation,Community Services,845.83,3355,9e96ea18ea4110a888dd0e1e9c8f80d7037b836a
LIFEGUARD,Recreation,Community Services,845.72,3356,64debdfdb2c1c1fa323a43fc320e15df769ef14e
SPECIALIZED INSTRUCTOR,Recreation,Community Services,845.69,3357,1f248065445c96c4318b63f7e6cf80bdf41f6566
SWIM INSTRUCTOR,Recreation,Community Services,844.57,3358,65b0e48ac19f230e747cb25fe092e03d8be713c6
LCC PROFESSIONAL STAGE HAND,Cultural Services,Community Services,841.08,3359,3c101fd2a3f48d8d4489359ee4d50861dd51346c
FACILITY CUSTODIAN,Cultural Services,Community Services,840.12,3360,f26c894ccbb9e0d61d578e8e23d7879a45e6a46d
LCC PROFESSIONAL STAGE HAND,Cultural Services,Community Services,833.28,3361,ca452d97b82a73a967cb0af3e2e3a6e7c1297c3b
SWIM INSTRUCTOR,Recreation,Community Services,825.16,3362,e62bb12d7890ef6206a02ad25c923c1a01f92546
FITNESS INSTRUCTOR-1 HR 15 MIN,Recreation,Community Services,825.00,3363,7d05aa05bdc2e6b00213743cc35bf204ab0081a2
AQUA-FITNESS INSTRUCTOR,Recreation,Community Services,823.38,3364,c1d84324aea2742c98399ab9b95478f82d251729
SKATE GUARD,Recreation,Community Services,820.87,3365,476d0b0ff2c2540586f89b52acb86d1b4f6d0eea
SKATE INSTRUCTOR/GROUP,Recreation,Community Services,820.00,3366,70b61dcc335abc0331b044172711cf6b411da1d0
CUSTOMER SERVICE REP,Sales Tax,Financial Services,811.52,3367,8c2ffb460381bb4b84614631b379657123484f54
SKATE INSTRUCTOR/GROUP,Recreation,Community Services,810.00,3368,3be4c0a51d1389de78f85f805a1c778b4f5189f4
SPECIALIZED INSTRUCTOR,Recreation,Community Services,807.92,3369,6c64f259b774af14a67c55f66067db81759b8558
LIFEGUARD,Recreation,Community Services,806.23,3370,c6023707cfef465142a08569c2e80a49fa39e33b
LIFEGUARD,Recreation,Community Services,804.23,3371,e59c2725d7d2b95d3c95ed5631a97efc26e339db
YOUTH SPORTS TRACK&FIELD COACH,Recreation,Community Services,803.25,3372,d0b8ee7e10df9aa3c724afc2d905a8df0bdacba1
YOUTH INSTRUCTOR,Recreation,Community Services,803.00,3373,5c21415bf309a6347ad5d013cfde7091813a1fd6
LEAD CLERICAL AIDE,Recreation,Community Services,802.75,3374,bb3ccae764975ef17c311984815fc7086db5fef1
UTILITY WORKER/ LP,Electric Field Services,Utility Services,790.72,3375,c81e3b18b026e70d2b47018779d554065c940ac0
TEMPORARY JUDGE,Municipal Court,Judicial Services,790.00,3376,57f49630472f5bdbbbad82ca6bc2d04835e5f45c
FITNESS INSTRUCTOR - 2 HOUR,Recreation,Community Services,787.50,3377,6d85f02192188a5bc19241d2dc709a31681108da
FACILITY ATTENDANT,Recreation,Community Services,784.49,3378,34ec2fc39c9c829dbf7b85f492c5ef03f6d9ca80
FITNESS INSTRUCTOR - 1 HOUR,Recreation,Community Services,784.00,3379,6d44d236b83aacc8fd2fa00671710d52dfaedd21
ASSOCIATE ENV PLANNER,Environmental Services,Sustainability Services,783.00,3380,93412fa1a0b2f65b5db6a98bec0c7190074f7207
YOUTH INSTRUCTOR,Recreation,Community Services,775.70,3381,ceb07f63059204d604ed0d98ee480c095c2e967d
ADULT SPORTS FIELD/GYM SUPV,Recreation,Community Services,770.98,3382,2b43bd0163776e8647c964adb78498569713ffe9
CLERICAL AIDE,Recreation,Community Services,770.41,3383,4bb70856278cab1b9781f7de559cc87c108dd36a
CLERICAL AIDE,Parks,Community Services,770.00,3384,256fd5e2e5ca08d422cd544487d8bb6e7e4f2514
SKATE GUARD,Recreation,Community Services,763.55,3385,6c6806cd282dc0c54c3130b0a606273d1d33d7f0
YOUTH SPORTS TRACK&FIELD COACH,Recreation,Community Services,756.00,3386,c4f725b373531579a1f6a8708c46ec7eac190715
